################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.6352140587602837E-01 a       231     0    12     1    11
 -3.6083476152954369E-01 a       232     0    12     1    12
  9.0818923047183941E-01 a       233     0    12     1    13
  6.3190282012121524E-01 a       234     0    12     1    14
 -2.5658861888878889E-02 a       235     0    12     1    15
  1.7268974315968610E-01 a       236     0    12     1    16
  6.7878571976663638E-01 a       237     0    12     1    17
 -2.5692162640614402E-01 a       238     0    12     1    18
  3.3248141135551790E-01 a       239     0    12     1    19
  1.1498627912420099E+00 a       240     0    12     1    20
 -1.7617468198018711E+00 a       241     0    13     1     1
 -2.4523264569638184E-01 a       242     0    13     1     2
  5.6599967311426991E-01 a       243     0    13     1     3
  9.3076205924216227E-01 a       244     0    13     1     4
 -7.6985247800477566E-02 a       245     0    13     1     5
 -1.5208033714644287E+00 a       246     0    13     1     6
 -9.4411140789352754E-01 a       247     0    13     1     7
 -9.6366083011999254E-02 a       248     0    13     1     8
  7.6052725175942371E-01 a       249     0    13     1     9
 -6.7410605995902795E-01 a       250     0    13     1    10
  2.6421492940810126E-01 a       251     0    13     1    11
 -3.1725806102188708E-01 a       252     0    13     1    12
 -6.4634645546483127E-01 a       253     0    13     1    13
 -1.1426614642182928E+00 a       254     0    13     1    14
 -6.0492433346008534E-01 a       255     0    13     1    15
 -1.1672928953542806E-01 a       256     0    13     1    16
  4.9596529278694834E-01 a       257     0    13     1    17
  4.5864548399901656E-01 a       258     0    13     1    18
 -1.9329888426895445E-01 a       259     0    13     1    19
 -1.2661251464910561E+00 a       260     0    13     1    20
 -2.3729187183837310E+00 a       261     0    14     1     1
  1.3863560301255054E-01 a       262     0    14     1     2
  3.6763465419061214E-01 a       263     0    14     1     3
  6.0331016784008362E-01 a       264     0    14     1     4
 -8.2465168796195615E-02 a       265     0    14     1     5
 -1.5601681776137029E+00 a       266     0    14     1     6
 -9.9028739754182893E-01 a       267     0    14     1     7
  2.8430912265987079E-01 a       268     0    14     1     8
  8.5856918027776064E-01 a       269     0    14     1     9
 -3.8411212972800268E-01 a       270     0    14     1    10
  2.2582498515835686E-01 a       271     0    14     1    11
 -3.3859702646799150E-01 a       272     0    14     1    12
  8.7261996170892503E-02 a       273     0    14     1    13
 -2.5009555119671301E-01 a       274     0    14     1    14
 -4.8167806030474380E-01 a       275     0    14     1    15
 -1.4210455162473179E-01 a       276     0    14     1    16
  6.0039690656048450E-01 a       277     0    14     1    17
  2.6862465132756708E-01 a       278     0    14     1    18
  1.2999356097668413E-01 a       279     0    14     1    19
 -3.5280569303231296E-01 a       280     0    14     1    20
 -3.8504575989504491E-01 a       281     0    15     1     1
  2.8036326567498043E-01 a       282     0    15     1     2
 -1.4536207569733803E-01 a       283     0    15     1     3
  4.6319517078722666E-01 a       284     0    15     1     4
 -1.7668195846485948E-01 a       285     0    15     1     5
 -8.0650338711284364E-01 a       286     0    15     1     6
  4.7519900064379866E-01 a       287     0    15     1     7
  1.1391278915650429E+00 a       288     0    15     1     8
  3.8941235919633194E-01 a       289     0    15     1     9
  7.6610865143055240E-01 a       290     0    15     1    10
  4.0516572353949942E-01 a       291     0    15     1    11
 -7.1273807391451649E-01 a       292     0    15     1    12
  3.4130397924719025E-01 a       293     0    15     1    13
 -7.4768966809205384E-01 a       294     0    15     1    14
  2.9955405500523575E-02 a       295     0    15     1    15
 -4.1459891171246065E-02 a       296     0    15     1    16
  6.4485339823215437E-01 a       297     0    15     1    17
 -4.3351843608632333E-02 a       298     0    15     1    18
 -8.8902667015357850E-01 a       299     0    15     1    19
 -3.9556451665378545E-01 a       300     0    15     1    20
 -9.2359221689611193E-01 a       301     0    16     1     1
  2.3333930915070766E-01 a       302     0    16     1     2
  1.8584776975924941E-01 a       303     0    16     1     3
  2.5856132613691546E-01 a       304     0    16     1     4
 -1.0908555005723442E-01 a       305     0    16     1     5
 -5.9578868253846062E-01 a       306     0    16     1     6
 -1.9118357995140098E-02 a       307     0    16     1     7
  4.7612809704199177E-01 a       308     0    16     1     8
  1.4187449086603404E-01 a       309     0    16     1     9
  2.4005243267111753E-01 a       310     0    16     1    10
  1.2972771518600845E-01 a       311     0    16     1    11
 -4.3181824103609051E-01 a       312     0    16     1    12
 -7.8735084256861931E-01 a       313     0    16     1    13
  5.2935409016228219E-01 a       314     0    16     1    14
 -2.9311613296595977E-02 a       315     0    16     1    15
 -2.0939988849579269E-01 a       316     0    16     1    16
 -3.1776678987492457E-01 a       317     0    16     1    17
  1.4900172191037100E-01 a       318     0    16     1    18
  4.1297042576520848E-01 a       319     0    16     1    19
  2.8122314537779428E-02 a       320     0    16     1    20
 -1.5724761538882435E+00 a       321     0    17     1     1
  4.8720379638499556E-01 a       322     0    17     1     2
  6.2380447393976157E-01 a       323     0    17     1     3
  1.7870575664278321E-01 a       324     0    17     1     4
 -4.4370771589161367E-01 a       325     0    17     1     5
 -9.4428406908472007E-01 a       326     0    17     1     6
 -4.2232083703223233E-02 a       327     0    17     1     7
  9.8694551603493141E-01 a       328     0    17     1     8
  3.8265969755878260E-01 a       329     0    17     1     9
  4.0631879769220236E-01 a       330     0    17     1    10
  1.8795090990754873E-01 a       331     0    17     1    11
 -4.8062208231985787E-01 a       332     0    17     1    12
 -9.6904472694349320E-01 a       333     0    17     1    13
  1.1506961283713670E+00 a       334     0    17     1    14
 -1.6844903076892992E-01 a       335     0    17     1    15
 -2.5831739607255821E-01 a       336     0    17     1    16
 -4.4032518826808886E-01 a       337     0    17     1    17
  5.0175498993580914E-01 a       338     0    17     1    18
  7.7611325102769402E-01 a       339     0    17     1    19
  4.7931917570897048E-01 a       340     0    17     1    20
 -1.6987355119639136E+00 a       341     0    18     1     1
  7.2620456205977257E-01 a       342     0    18     1     2
  8.5594608846516984E-01 a       343     0    18     1     3
  9.9064971023348769E-02 a       344     0    18     1     4
 -6.7015305999856412E-01 a       345     0    18     1     5
 -9.2163875981726473E-01 a       346     0    18     1     6
  2.5737073499793695E-02 a       347     0    18     1     7
  9.2536373259260241E-01 a       348     0    18     1     8
  7.5710740027949874E-01 a       349     0    18     1     9
  5.4691467272416749E-01 a       350     0    18     1    10
  2.2049445852265517E-01 a       351     0    18     1    11
 -3.8186555034802816E-01 a       352     0    18     1    12
 -9.1784686348905309E-01 a       353     0    18     1    13
  1.0690006590992978E+00 a       354     0    18     1    14
 -5.8258467909071099E-01 a       355     0    18     1    15
 -6.8227986512787039E-02 a       356     0    18     1    16
 -2.4417338390719054E-01 a       357     0    18     1    17
  4.6401635404462949E-01 a       358     0    18     1    18
  1.0386714295759158E+00 a       359     0    18     1    19
  4.2736036997727384E-01 a       360     0    18     1    20
 -4.8997913658144826E-01 a       361     0    19     1     1
 -2.6433416269306392E-01 a       362     0    19     1     2
  1.0312113860242685E-01 a       363     0    19     1     3
 -5.8604077319643705E-02 a       364     0    19     1     4
 -5.5292912251033395E-02 a       365     0    19     1     5
 -1.9587993224630552E-02 a       366     0    19     1     6
 -1.4234629961306655E-01 a       367     0    19     1     7
 -2.1613609462520408E-01 a       368     0    19     1     8
  2.7159597170002359E-01 a       369     0    19     1     9
 -8.4352505266653707E-02 a       370     0    19     1    10
 -3.6000994444356854E-01 a       371     0    19     1    11
 -2.5448389354224715E-01 a       372     0    19     1    12
  6.8174269260872489E-01 a       373     0    19     1    13
 -9.9277488998384722E-01 a       374     0    19     1    14
 -1.1952774140625186E-01 a       375     0    19     1    15
  2.6248504312741755E-01 a       376     0    19     1    16
  7.7879162064976248E-02 a       377     0    19     1    17
  2.4778913652513963E-02 a       378     0    19     1    18
  2.7866668153732771E-01 a       379     0    19     1    19
 -2.5836470528935584E-01 a       380     0    19     1    20
 -1.9729024998653630E-02 a       381     0    20     1     1
 -3.3279494817386057E-01 a       382     0    20     1     2
 -6.8632986984109842E-02 a       383     0    20     1     3
 -2.4818102118964580E-01 a       384     0    20     1     4
  3.3642652829927580E-02 a       385     0    20     1     5
  1.6655105461373668E-01 a       386     0    20     1     6
 -2.5663556844502872E-01 a       387     0    20     1     7
 -3.8790752939244388E-01 a       388     0    20     1     8
  3.3704904222832188E-01 a       389     0    20     1     9
 -2.1647003314597718E-01 a       390     0    20     1    10
 -4.0520538380793181E-01 a       391     0    20     1    11
 -2.3189878976431613E-02 a       392     0    20     1    12
  9.3808189589596824E-01 a       393     0    20     1    13
 -1.8058036128633803E+00 a       394     0    20     1    14
 -1.1586405224496828E-01 a       395     0    20     1    15
  3.7856499059451343E-01 a       396     0    20     1    16
  2.9032238297867458E-01 a       397     0    20     1    17
 -1.9512140593523009E-01 a       398     0    20     1    18
  8.1915975646711908E-02 a       399     0    20     1    19
 -4.6370783894205980E-01 a       400     0    20     1    20
  1.4113374849010105E-01 a       401     0    21     1     1
 -6.1578472390499883E-01 a       402     0    21     1     2
 -2.9218735968671228E-01 a       403     0    21     1     3
 -3.1564503964770396E-01 a       404     0    21     1     4
  3.2562183949401818E-01 a       405     0    21     1     5
  1.7041773392971543E-01 a       406     0    21     1     6
 -3.1400601312385978E-01 a       407     0    21     1     7
 -5.8713981652776925E-01 a       408     0    21     1     8
  2.6125312094426756E-01 a       409     0    21     1     9
 -5.7172636616560657E-01 a       410     0    21     1    10
 -5.0307720157039304E-01 a       411     0    21     1    11
 -9.8736949245925160E-02 a       412     0    21     1    12
  1.0356023950768793E+00 a       413     0    21     1    13
 -2.5830308906959800E+00 a       414     0    21     1    14
 -4.5723517792929609E-02 a       415     0    21     1    15
  2.9999724811101802E-01 a       416     0    21     1    16
  3.1261299630771555E-01 a       417     0    21     1    17
 -3.3160593246670356E-01 a       418     0    21     1    18
 -3.0605876686483957E-02 a       419     0    21     1    19
 -7.8425867827308704E-01 a       420     0    21     1    20
  4.7323454612337440E-01 a       421     0    22     1     1
 -4.3207139297375519E-01 a       422     0    22     1     2
 -4.3929615292528029E-01 a       423     0    22     1     3
 -3.2886665752116706E-01 a       424     0    22     1     4
  4.5387250288668862E-01 a       425     0    22     1     5
  5.8956599098300116E-02 a       426     0    22     1     6
 -3.3472512049218961E-01 a       427     0    22     1     7
 -1.4894788490672276E-01 a       428     0    22     1     8
 -9.3803525578677854E-02 a       429     0    22     1     9
 -4.5946660778616710E-01 a       430     0    22     1    10
 -2.5649511139793890E-01 a       431     0    22     1    11
  1.4565786422125412E-01 a       432     0    22     1    12
  5.8555040149617033E-01 a       433     0    22     1    13
 -1.8572888753223962E+00 a       434     0    22     1    14
  4.3957610112578832E-01 a       435     0    22     1    15
  1.9250653539782111E-02 a       436     0    22     1    16
 -8.5822391573227949E-02 a       437     0    22     1    17
 -1.0804039881453316E-01 a       438     0    22     1    18
 -2.6755359250833394E-01 a       439     0    22     1    19
 -3.4313646463951891E-01 a       440     0    22     1    20
 -3.0530016922768821E-01 a       441     0    23     1     1
 -9.6613477230772959E-01 a       442     0    23     1     2
  1.8689775299251016E-01 a       443     0    23     1     3
  2.4138419184399565E-01 a       444     0    23     1     4
  2.2608218507294689E-01 a       445     0    23     1     5
 -5.1915127246528681E-01 a       446     0    23     1     6
  1.0326460622393902E-01 a       447     0    23     1     7
 -1.2917558519384026E-01 a       448     0    23     1     8
 -1.7127259264271100E-03 a       449     0    23     1     9
 -4.6754433884548136E-01 a       450     0    23     1    10
 -3.2353401035590257E-01 a       451     0    23     1    11
 -1.8362661510794359E-01 a       452     0    23     1    12
 -1.6419903071780423E-01 a       453     0    23     1    13
 -5.2292408708483917E-01 a       454     0    23     1    14
  1.0488255479407681E-01 a       455     0    23     1    15
 -5.3618983621115550E-02 a       456     0    23     1    16
 -2.5016400956237100E-01 a       457     0    23     1    17
  1.9325839945110559E-01 a       458     0    23     1    18
  2.7832258956812783E-01 a       459     0    23     1    19
 -4.8540338509745662E-01 a       460     0    23     1    20
  4.4509596158008796E-01 a       461     0    24     1     1
  6.4755886760432235E-01 a       462     0    24     1     2
 -1.8322276727306800E-02 a       463     0    24     1     3
 -8.6722864543216671E-01 a       464     0    24     1     4
 -4.3486241199107634E-01 a       465     0    24     1     5
  4.7512538868446919E-01 a       466     0    24     1     6
 -1.2917663711678717E-01 a       467     0    24     1     7
  1.2994766463206672E-01 a       468     0    24     1     8
  1.3339424338114406E-01 a       469     0    24     1     9
  9.8819541395312616E-01 a       470     0    24     1    10
  3.1536050438276675E-02 a       471     0    24     1    11
  2.1542305643747670E-01 a       472     0    24     1    12
  1.8877846384957070E-01 a       473     0    24     1    13
  2.6058305552938976E-01 a       474     0    24     1    14
 -7.1007689264765389E-02 a       475     0    24     1    15
 -2.4332562171694494E-02 a       476     0    24     1    16
  1.5905547092000275E-01 a       477     0    24     1    17
 -1.0659087629039918E-01 a       478     0    24     1    18
  4.9675299473792234E-02 a       479     0    24     1    19
  8.7255561578485041E-01 a       480     0    24     1    20
 -2.8456754077474207E+00 a       481     0    25     1     1
 -3.9163058978962706E+00 a       482     0    25     1     2
 -1.8242844017860746E-01 a       483     0    25     1     3
  2.0970426946008760E+00 a       484     0    25     1     4
