################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2710753504574527E-01 a       472     0    24     1    12
 -1.9675986044777199E-01 a       473     0    24     1    13
 -6.3037209434944508E-01 a       474     0    24     1    14
 -2.1435296104241652E-01 a       475     0    24     1    15
 -6.6691761367951088E-02 a       476     0    24     1    16
 -7.6588652731857165E-01 a       477     0    24     1    17
  4.5064543799195855E-01 a       478     0    24     1    18
 -2.2390362098458086E-01 a       479     0    24     1    19
 -3.9834049096162316E-01 a       480     0    24     1    20
 -1.1320883094348004E+00 a       481     0    25     1     1
  1.6739450307016062E+00 a       482     0    25     1     2
  5.4888312164829998E-02 a       483     0    25     1     3
  1.6946188315100803E+00 a       484     0    25     1     4
  1.2810672792876545E+00 a       485     0    25     1     5
 -5.0081361763971000E-01 a       486     0    25     1     6
  6.4206251886776367E-01 a       487     0    25     1     7
 -2.3021321852351662E+00 a       488     0    25     1     8
 -7.7315454784680471E-01 a       489     0    25     1     9
 -1.0711693754258711E+00 a       490     0    25     1    10
  2.1299323983128935E+00 a       491     0    25     1    11
 -1.0086637176510718E+00 a       492     0    25     1    12
 -3.4253256846877571E-02 a       493     0    25     1    13
  8.4187672956623083E-01 a       494     0    25     1    14
  6.1485417017475885E-01 a       495     0    25     1    15
 -5.8659318826074158E-01 a       496     0    25     1    16
  4.2581670723467013E-01 a       497     0    25     1    17
 -6.7986173576244180E-01 a       498     0    25     1    18
  2.3070367096317139E+00 a       499     0    25     1    19
  8.7662716714794531E-01 a       500     0    25     1    20
 -2.8050646859228895E-01 a       501     0    26     1     1
  1.1312859402182691E+00 a       502     0    26     1     2
  3.3552994078315196E-01 a       503     0    26     1     3
  1.5174842756508993E+00 a       504     0    26     1     4
  1.0002613754934633E+00 a       505     0    26     1     5
 -2.0862606945458959E-01 a       506     0    26     1     6
 -9.4810472014624850E-02 a       507     0    26     1     7
 -2.0081757349489129E+00 a       508     0    26     1     8
 -3.8805800146882524E-01 a       509     0    26     1     9
 -1.1544754799748027E+00 a       510     0    26     1    10
  1.8641226627869543E+00 a       511     0    26     1    11
 -1.0559972181014399E+00 a       512     0    26     1    12
 -4.8226215363459429E-01 a       513     0    26     1    13
